iter	Passed	Remaining
310	14835	32866
311	14883	32819
312	14929	32768
313	14977	32722
314	15025	32675
315	317	15072	32316	318	15125	32317	319	15174	32318	15211	32473
319	15266	32440
320	15316	32399
321	15353	32328
322	15413	32305
323	15466	32268
324	15508	32209
325	15547	32143
326	15594	32095
327	15633	32028
328	15680	31979
329	15733	31943
330	15756	31846
331	15806	31802
332	15852	31753
333	15903	31712
334	15949	31660
335	15996	31612
336	16035	31547
337	16080	31494
338	16112	31416
339	16184	31416
340	16303	31507
341	16342	31443
342	16403	31419
343	16459	31387
344	16511	31348
345	16558	31299
346	16620	31278
347	16661	31217
348	16707	31165
349	16752	31111
350	16800	31065
351	16864	31045
352	354	16911	30353	16953	30938
354	17004	30896
355	17064	30869
356	17120	30835
357	17164	30781
358	17259	30817
359	17328	30805
360	17395	30791
361	363	17466	30362	17508	30724
363	365	17579	30364	17616	30647
365	17712	30682
366	368	17773	30367	369	17840	30368	370	17897	30369	371	17950	30370	372	18001	30371	373	18040	30372	374	18089	30373	375	18135	30374	376	18183	30048
377	18225	29990
378	18274	29943
379	18315	29883
380	18359	29828
381	18407	29780
382	18458	29736
383	18510	29693
384	18573	29669
385	18628	29632
386	18678	29587
387	18726	29537
388	18782	29501
389	18844	29474
390	18891	29424
391	18938	29373
392	18986	29324
393	19041	29286
394	19098	29252
395	19141	29196
396	19191	29149
397	19227	29082
398	19278	29039
399	19319	28979
400	19366	28929
401	19411	28876
402	19466	28838
403	19509	28781
404	19569	28749
405	19617	28701
406	19658	28642
407	19719	28612
408	19758	28550
409	19775	28457
410	19791	28362
411	19806	28267
412	19823	28175
413	19840	28083
414	19855	27413	19892	28157
414	19938	28105
415	19972	28038
416	20010	27976
417	20060	27931
418	20104	27877
419	20177	27863
420	20247	27846
421	20332	27848
422	20393	27818
423	20466	27803
424	20520	27763
425	20574	27722
426	20633	27688
427	20700	27665
428	20745	27612
429	20793	27563
430	20844	27517
431	20905	27486
432	20949	27433
433	21047	27449
434	21095	27400
435	21154	27365
436	21174	27280
437	21213	27218
438	21274	27186
439	21332	27149
440	21405	27133
441	21447	27076
442	21488	27018
443	21536	26969
444	21587	26923
445	21631	26869
446	21679	26820
447	21721	26763
448	21765	26710
449	21815	26662
450	21857	26606
451	21906	26559
452	21948	26503
453	21991	26447
454	22041	26400
455	22076	26337
456	22112	26274
457	22158	26222
458	22197	26163
459	22246	26115
460	22299	26072
461	22350	26026
462	22392	25971
463	22446	25929
464	22469	25851
465	22491	25773
466	22508	25689
467	22525	25606
468	22543	25523
469	22560	25441
470	22577	25357
471	22593	25273
472	22609	25190
473	22625	25108
474	22641	25025
475	22657	24942
476	22672	24859
477	22689	24778
478	22708	24699
479	22724	24618
480	22745	24542
481	22760	24460
482	22775	24378
483	22791	24297
484	22806	24217
485	22823	24138
486	22842	24062
487	22857	23981
488	22876	23906
489	22893	23828
490	22911	23751
491	22928	23673
492	22943	23594
493	22959	23517495	22988	23358
496	23044	23322
497	23092	23277
498	23134	23227
499	23179	23179
500	23220	23127
501	23256	23071
502	23296	23018
503	23350	22979
504	23404	22941
505	23463	22906
506	23518	22868
507	23560	22818
508	23610	22775
509	23656	22729
510	23712	22691
511	23758	22644
512	23810	22603
513	23875	22574
514	23927	22533
515	23990	22502
516	24031	22450
517	24089	22415
518	24145	22377
519	24197	22335
520	24248	22293
521	24291	22244
522	24334	22193
523	24374	22142
524	24415	22090
525	24469	22050
526	24513	22001
527	24575	21968
528	24633	21932
529	24680	21886
530	24717	21831
531	24764	21785
532	24805	21733
533	24844	21681
534	24888	21632
535	24927	21579
536	24977	21535
537	25032	21496
538	25079	21449
539	25122	21400
540	25171	21355
541	25215	21307
542	25269	21267
543	25315	21220
544	25358	21170
545	25401	21121
546	25447	21074
547	25493	21027
548	25538	20980
549	25590	20937
550	25639	20892
551	25693	20852
552	25741	20807
553	25790	20762
554	25839	20718
555	25888	20673
556	25942	20632
557	25989	20586
558	26050	20551
559	26098	20505
560	26140	20456
561	26175	20400
562	26213	20347
563	26259	20300
564	26297	20246
565	26334	20192
566	26379	20145
567	26423	20096
568	26482	20059
569	26533	20016
570	26598	19983
571	26655	19945
572	26704	19899
573	26756	19857
574	26802	19810
575	26870	19779
576	26930	19742
577	26977	19696
578	27022	19648
579	27066	19599
580	27111	19551
581	27153	19501
582	27215	19466
583	27270	19425
584	27329	19387
585	27386	19348
586	27438	19305
587	27504	19271
588	27553	19226
589	27597	19177
590	27651	19135
591	27679	19076
592	27727	19030
593	27775	18984
594	27825	18940
595	27879	18897
596	27936	18858
597	27974	18805
598	28014	18754
599	28068	18712
600	28131	18676
601	28175	18627
602	28232	18587
603	28273	18537
604	28319	18489
605	28368	18444
606	28423	18402
607	28479	18361
608	28502	18299
609	28525	18237
610	28552	18178
611	28576	18117
612	28597	18054
613	28616	17990
614	28635	17926
615	28656	17863
616	28672	17798
617	28688	17732
618	28705	17668
619	28721	17603
620	28737	17538
621	28786	17494
622	28864	17466
623	28919	17426
624	28967	17380
625	29010	17332
626	29066	17291
627	29142	17262
628	29185	17214
629	29216	17158
630	29238	17098
631	29263	17039
632	29284	16978
633	29309	16920
634	29331	16859
635	29357	16801
636	29378	16741
637	29396	16679
638	29419	16620
639	29438	16559
640	29457	16497
641	29472	16434
642	29488	16372
643	29503	16309
644	29517	16246
645	2646	29537	1646	2647	29585	16070
648	29639	16030
649	29698	15991
650	29747	15947
651	29792	15901
652	29827	15850
653	29880	15808
654	29943	15771
655	30009	15736
656	30065	15696
657	30136	15663
658	30186	15620
659	30255	15585
660	30353	15567
661	30428	15536
662	30470	15488
663	30504	15435
664	30541	15385
665	30607	15349
666	30649	15301
667	30688	15252
668	30731	15204
669	30810	15175
670	30885	15143
671	30944	15103
672	31019	15071
673	31081	15033
674	31147	14996
675	31197	14952
676	31258	14913
677	31335	14882
678	31403	14845
679	31475	14812
680	31536	14772
681	31592	14730
682	31655	14692
683	31707	14648
684	31769	14609
685	31802	14556
686	31838	14505
687	31891	14462
688	31928	14411
689	31970	14363
690	32014	14316
691	32056	14267
692	32109	14224
693	32153	14177
694	32195	14129
695	32232	14078
696	32273	14029
697	32319	13983
698	32361	13935
699	32400	13886
700	32455	13843
701	32496	13794
702	32549	13751
703	32596	13705
704	32651	13662
705	32686	13611
706	32716	13558
707	32768	13514
708	32801	13462
709	32840	13413
710	32879	13364
711	32923	13317
712	32969	13271
713	33008	13222
714	33049	13173
715	33079	13121
716	33112	13069
717	33151	13020
718	33197	12974
719	33241	12927
720	33278	12877
721	33314	12827
722	33351	12777
723	33399	12732
724	33446	12686
725	33488	12638
726	33532	12591
727	33577	12545
728	33624	12499
729	33661	12450
730	33708	12404
731	33758	12359
732	33808	12314
733	33854	12268
734	33903	12223
735	33946	12176
736	33998	12132
737	34042	12085
738	34107	12045
739	34150	11998
740	34202	11954
741	34236	11904
742	34285	11859
743	34334	11813
744	34383	11768
745	34439	11725
746	34479	11677
747	34528	11632
748	34576	11586
749	34626	11542
750	34671	11495
751	34711	11447
752	34758	11401
753	34788	11350
754	34826	11301
755	34867	11253
756	34904	11204
757	34945	11156
758	34983	11107
759	35018	11058
760	35062	11011
761	35113	10967
762	35164	10922
763	35210	10876
764	35270	10834
765	35328	10792
766	35369	10744
767	35421	10700
768	35459	10651
769	35495	10602
770	35539	10555
771	35577	10507
772	35613	10458
773	35651	10409
774	35704	10365
775	35748	10319
776	35786	10270
777	35817	10220
778	35845	10169
779	35890	10123
780	35936	10076
781	35972	10028
782	36005	9978
783	36053	9933
784	36091	9884
785	36149	9842
786	36194	9796
787	36225	9745
788	36274	9700
789	36319	9654
790	36369	9609
791	36420	9565
792	36464	9518
793	36493	9468
794	36529	9419
795	36556	9368
796	36601	9322
797	36642	9275
798	36687	9229
799	36728	9182
800	36767	9134
801	36816	9089
802	36864	9043
803	36920	9000
804	36959	8952
805	37003	8906
806	37042	8859
807	37097	8815
808	37153	8771
809	37208	8727
810	37259	8683
811	37314	8639
812	37395	8601
813	37429	8552
814	37475	8506
815	37520	8460
816	37567	8414
817	37602	8366
818	37670	8325
819	37722	8280
820	37786	8238
821	37846	8195
822	37932	8158
823	37984	8113
824	38043	8069
825	38084	8022
826	38137	7978
827	38174	7929
828	38240	7887
829	38285	7841
830	38323	7793
831	38363	7746
832	38408	7700
833	38458	7654
834	38499	7607
835	38569	7566
836	38604	7517
837	38643	7470
838	38681	7422
839	38739	7378
840	38779	7331
841	38820	7284
842	38860	7237
843	38902	7190
844	38943	7143
845	39004	7100
846	39045	7053
847	39088	7006
848	39129	6959
849	39184	6914
850	39214	6866
851	39266	6821
852	39305	6773
853	39359	6728
854	39410	6683
855	39448	6636
856	39488	6589
857	39514	6539
858	39548	6491
859	39592	6445
860	39637	6399
861	39682	6352
862	39728	6306
863	39770	6260
864	39809	6213
865	39848	6165
866	39881	6117
867	39916	6070
868	39946	6021
869	39973	5973
870	40023	5927
871	40064	5881
872	40108	5834
873	40147	5787
874	40180	5740
875	40205	5691
876	40233	5642
877	40256	5593
878	40287	5545
879	40313	5497
880	40352	5450
881	40379	5402
882	40416	5355
883	40453	5308
884	40479	5260
885	40513	5212
886	40536	5164
887	40562	5115
888	40594	5068
889	40630	5021
890	40663	4974
891	40692	4926
892	40722	4879
893	40756	4832
894	40783	4784
895	40810	4736
896	40847	4690
897	40895	4645
898	40926	4597
899	40957	4550
900	40975	4502
901	40996	4454
902	41018	4406
903	41055	4359
904	41090	4313
905	41111	4265
906	41130	4217
907	41147	4169
908	41167	4121
909	41181	4072
910	41196	4024
911	41211	3976
912	41227	3928
913	41245	3880
914	41265	3833
915	41284	3785
916	41301	3738
917	41324	3691
918	41347	3644
919	41367	3597
920	41393	3550
921	41418	3503
922	41435	3456
923	41475	3411
924	41501	3364
925	41522	3318
926	41550	3272
927	41573	3225
928	41599	3179
929	41627	3133
930	41664	3087
931	41697	3042
932	41717	2995
933	41737	2949
934	41758	2902
935	41777	2856
936	41797	2810
937	41814	2763
938	41833	2717
939	41847	2671
940	41861	2624
941	41873	2578
942	41888	2531
943	41903	2485
944	41920	2439
945	41935	2393
946	41948	2347
947	41958	2301
948	41971	2255
949	41981	2209
950	41993	2163
951	42003	2117
952	42013	2072
953	42024	2026
954	42033	1980
955	42044	1935
956	42055	1889
957	42064	1844
958	42074	1798
959	42084	1753
960	42094	1708
961	42105	1663
962	42115	1618
963	42124	1573
964	42134	1528
965	42144	1483
966	42155	1438
967	42165	1393
968	42176	1349
969	42186	1304
970	42196	1260
971	42207	1215
972	42217	1171
973	42227	1127
974	42238	1083
975	42252	1038
976	42262	994
977	42271	950
978	42280	906
979	42288	863
980	42296	819
981	42304	775
982	42313	731
983	42321	688
984	42331	644
985	42339	601
986	42347	557
987	42355	514
988	42363	471
989	42370	427
990	42377	384
991	42384	341
992	42390	298
993	42396	255
994	42403	213
995	42410	170
996	42417	127
997	42424	85
998	42431	42
999	42438	0
2248	0
999	41769	0
